team,elo_rating,week
CHI,1588.89793144843,0
PHI,1581.51355925233,0
CAR,1519.37877240763,0
NYJ,1384.96644235941,0
MIN,1538.42395425995,0
CLE,1455.88640137805,0
MIA,1415.17876187059,0
JAX,1455.24907275187,0
LAC,1585.75191800581,0
SEA,1565.41164859357,0
TB,1444.77266859125,0
ARI,1383.74042223536,0
DAL,1546.63760540507,0
NE,1640.85648810958,0
NO,1610.93660317005,0
OAK,1405.44061778861,0
GB,1455.13136993533,0
WAS,1441.02179176339,0
LA,1598.01566621671,0
BUF,1448.42368150679,0
ATL,1520.31582461035,0
TEN,1518.90720352913,0
BAL,1570.53924891259,0
KC,1602.07742712331,0
IND,1561.07456529967,0
CIN,1428.5335151433,0
SF,1422.63182461207,0
DET,1490.51940926969,0
NYG,1442.7255357616,0
PIT,1572.19321967273,0
HOU,1515.38853097227,0
DEN,1449.16419458668,0
